Fac_Name,lat,lon,State_Name,Fac_Use
MEMPHIS INTL,35.042411388972496,-89.976679166639,TENNESSEE,PU
MC ALLEN MILLER INTL,26.175833332776868,-98.23861111086573,TEXAS,PU
MESQUITE METRO,32.74696277780895,-96.53041722186269,TEXAS,PU
VALLEY INTL,26.227111111362706,-97.6551388892705,TEXAS,PU
SMYRNA,36.008972222035275,-86.52008333280995,TENNESSEE,PU
DEL RIO INTL,29.374206943779917,-100.92715694383035,TEXAS,PU
GREENVILLE DOWNTOWN,34.84794444381059,-82.34999999976574,SOUTH CAROLINA,PU
FLORENCE RGNL,34.185361111193046,-79.7238888891527,SOUTH CAROLINA,PU
EASTERWOOD FIELD,30.58804188884577,-96.36254444444671,TEXAS,PU
STILLWATER RGNL,36.1613888892831,-97.08588888867826,OKLAHOMA,PU
ABILENE RGNL,32.41133333324512,-99.68188888868421,TEXAS,PU
MIDLAND INTL AIR AND SPACE PORT,31.94252777819325,-102.20191666729627,TEXAS,PU
EL PASO INTL,31.807333332841697,-106.37636111083913,TEXAS,PU
EAST TEXAS RGNL,32.38400000016743,-94.71150000029527,TEXAS,PU
DALLAS-FORT WORTH INTL,32.8972315561211,-97.03769494382844,TEXAS,PU
GEORGE BUSH INTERCONTINENTAL/HOUSTON,29.98443527821907,-95.3414425000344,TEXAS,PU
NASHVILLE INTL,36.12447499993432,-86.67818055616756,TENNESSEE,PU
WILL ROGERS WORLD,35.39307402766114,-97.60076172174247,OKLAHOMA,PU
ARLINGTON MUNI,32.66386111075647,-97.09427777811123,TEXAS,PU
FORT WORTH ALLIANCE,32.99038583267071,-97.31944055617808,TEXAS,PU
LOVELL FIELD,35.035194444164645,-85.20355555626665,TENNESSEE,PU
CORPUS CHRISTI INTL,27.772194444169806,-97.50241666714346,TEXAS,PU
LUBBOCK PRESTON SMITH INTL,33.66366666698694,-101.82055555616043,TEXAS,PU
WACO RGNL,31.612194444267846,-97.2303055562846,TEXAS,PU
SAN ANGELO RGNL/MATHIS FIELD,31.35775000027413,-100.49630555600766,TEXAS,PU
LAWTON-FORT SILL RGNL,34.56771444425328,-98.41663666738577,OKLAHOMA,PU
